Specimen No.,Year,Era,Species,Scent Morph,Date,Location,State,Altitude (m),Altitude (ft),Habitat (NMS),Habitat-description,Collector,Mounted?,Notes,NMS NOTES,Photos taken?,Corolla.Flare_1,Sepal.Length_1,Tube.Length_1,Lobe.Length_1,Lobe.Width_1,Notes,NMS NOTES,Dissected?,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,,flrln,flrwd,no.flr.counted,conmean,hetmean,purity,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Notes
17-116,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.39,1.07,1.46,0.76,0.66,,*2nd PRIORITY,yes,43,127,1633,3,,,,,,,,,,,,,,,,,,,,,,,
17-119,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.1,1.19,1.67,0.66,0.67,,*2nd PRIORITY,yes,85,82,1032,5,,,,,,,,,,,,,,,,,,,,,,,
17-120,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.76,1.53,1.63,0.75,0.63,,*2nd PRIORITY,yes,100,120,581,8,,,,,,,,,,,,,,,,,,,,,,,
17-121,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.19,0.96,1.52,0.52,0.54,,*2nd PRIORITY,yes,64,113,312,7,,,,,,,,,,,,,,,,,,,,,,,
17-122,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.37,1.39,1.7,0.73,0.66,,*2nd PRIORITY,yes,6,79,243,5,,,,,,,,,,,,,,,,,,,,,,,
17-124,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.21,1.14,1.6,0.64,0.58,,*2nd PRIORITY,yes,402,78,217,4,,,,,,,,,,,,,,,,,,,,,,,
17-125,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,0.96,1,1.54,0.57,0.46,,*2nd PRIORITY,yes,24,60,405,6,,,,,,,,,,,,,,,,,,,,,,,
17-081,2017,present,Polemonium viscosum,Skunky,7/2/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,0.8,1.985,1.554,0.437,0.494,,*2nd PRIORITY,yes,72,33,39,3,,,,,,,,,,,,,,,,,,,,,,,
17-082,2017,present,Polemonium viscosum,Skunky,7/2/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,0.866,1.779,1.302,0.413,0.426,,*2nd PRIORITY,yes,164,169,19,3,,,,,,,,,,,,,,,,,,,,,,,
17-085,2017,present,Polemonium viscosum,Skunky,7/2/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.088,2.105,1.512,0.51,0.521,,*2nd PRIORITY,yes,376,161,32,4,,,,,,,,,,,,,,,,,,,,,,,
17-086,2017,present,Polemonium viscosum,Skunky,7/2/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.035,2.138,1.56,0.527,0.481,,*2nd PRIORITY,yes,47,20,92,5,,,,,,,,,,,,,,,,,,,,,,,
17-087,2017,present,Polemonium viscosum,Skunky,7/2/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.322,2.297,1.56,0.746,0.658,,*2nd PRIORITY,yes,39,11,44,3,,,,,,,,,,,,,,,,,,,,,,,
17-136,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.08,0.92,1.73,0.7,0.61,,*2nd PRIORITY,yes ,289,73,290,4,,,,,,,,,,,,,,,,,,,,,,,
17-134,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*2nd PRIORITY,yes,1.17,1.34,1.61,0.7,0.58,,Dissection finished,yes,37,203,32,4,,,,,,,,,,,,,,,,,,,,,,,
17-228,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3739,,high alpine,,Nicole Miller-Struttmann et al. ,no,Sk-1,Photos finished,yes,1.12,1.39,1.73,0.65,0.47,,Dissection finished,yes,8,1,3,2,,,,,,,,,,,,,,,,,,,,,,,
17-229,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3739,,high alpine,,Nicole Miller-Struttmann et al. ,no,Sk-2,Photos finished,yes,1.22,1.13,1.37,0.57,0.62,,Dissection finished,yes,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,
17-230,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3739,,high alpine,,Nicole Miller-Struttmann et al. ,no,Sk-3,Photos finished,yes,1.06,1.05,1.51,0.61,0.64,,Dissection finished,yes,5,0,17,4,,,,,,,,,,,,,,,,,,,,,,,
17-220,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3586,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.22,1.49,1.61,0.86,0.51,,*2nd PRIORITY,yes,28,14,683,5,,,,,,,,,,,,,,,,,,,,,,,
17-223,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3586,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.23,1.39,1.87,0.64,0.47,,*2nd PRIORITY,yes,152,75,1769,12,,,,,,,,,,,,,,,,,,,,,,,
17-224,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3586,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.39,1.18,1.64,0.77,0.68,,*2nd PRIORITY,yes,10,5,149,5,,,,,,,,,,,,,,,,,,,,,,,
17-226,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3586,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.49,1.27,1.73,0.83,0.74,,*2nd PRIORITY,yes,86,60,525,5,,,,,,,,,,,,,,,,,,,,,,,
